Name;Geburtsjahr;Todesjahr;Konfession;Kategorie;Mitglied von;Urheber von;Autor von;Mitglieder;Wirkungsjahre
Pleickard von Helmstatt;1571;1636;protestantisch;"Angehörige des Militärs; Angehörige der Aristokratie";;;;;
Stephan Hemmerden;;;katholisch;Kaufleute, Gewerbetreibende, Dienstleister;;Glückwunsch-Flugblatt mit Kupferstich zur Hochzeit Wolfgang Wilhelms von Pfalz-Neuburg mit Magdalena von Bayern;;;zwischen 1598 und 1625
Hieronymus Hempelmeier;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Ebersberger Mönche;;;;um 1595
Hugo Henry;;;keine Angabe;Städtische Administration;;;;;um 1613
Hans Hentz;;;keine Angabe;Städtische Administration;;;;;um 1612
Sebastian Hepp;;;keine Angabe;Künstler: Malerei;;"Porträt Philipps II. von Pommern-Stettin (1613); Porträt Sophias von Pommern-Stettin";;;zwischen 1613 und 1618
Wolfgang Jakob von Herberstein;;1627;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Adam von Herberstorff;1585;1629;"protestantisch; katholisch";"Angehörige der Aristokratie; Angehörige des Militärs; Hofleute, höfische Administration";Herzoglicher/Kurfürstlicher Rat (Bayern);Linz, Schloss Linz;;;
Kunigunde Herbishofer;;;christlich allgemein;Sonstige;;;;;
Mang Herbishofer;;;christlich allgemein;Sonstige;;;;;
Anna Guta Herbst;;;protestantisch;Sonstige;;;;;um 1530–1621
Heritsch (Familie);;;protestantisch;;;;;;
Hans Wilhelm Herman;;;keine Angabe;"Künstler: Architektur; Hofleute, höfische Administration";;;;;um 1616
Hermann Fortunat, Markgraf (Baden-Rodemachern);1595;1665;katholisch;Angehörige der Aristokratie;;;;;
Heinrich Hermann;;1627;protestantisch;Städtische Administration;;;;;
Hans Christoph von Hermsdorf;;1625;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Andreas Herneisen;1538;1610;protestantisch;Künstler: Malerei;;;;;
Johann Jakob Herold;;1632;katholisch;Hofleute, höfische Administration;;;;;
Tobias Freiherr von Herstenzki zu Herstein;;1632;protestantisch;Hofleute, höfische Administration;Landstände des Herzogtums Pfalz-Neuburg;;;;zwischen 1594 und 1632
Melchior Hertel;;1634;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Jesuitenorden;;;;
Johann Burkhart von Hertingshausen d. J.;;;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;um 1616
Johann Burkhart von Hertingshausen d. Ä.;;1624;protestantisch;Sonstige;;;;;
Daniel Hertzog;;1623;keine Angabe;Künstler: Malerei;;"Stammbücher Philipp Hainhofers; Tierbuch Philipps II. von Pommern-Stettin";;;nachweisbar zwischen 1588 und 1623
Hans Georg Herwart von Hohenburg;1553;1622;katholisch;"Hofleute, höfische Administration; Gelehrte und Schriftsteller";;;;;
Peter Herz;1590;1657;katholisch;"Künstler: Angewandte Kunst; Kaufleute, Gewerbetreibende, Dienstleister";;;;;
Dietrich Hesse;;;keine Angabe;Sonstige;;;;;um 1617
Ernst Hettenbach;1590;1624;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Ernst Hettenbach, Brüder;;;;;;;;;
Michael Hettich;;1635;protestantisch;Bedienstete;;;;;
Johann Heinrich Hettinger;;;katholisch;Städtische Administration;;;;;nachgewiesen 1599–1613
Caspar Heuchelin;1571;1626;protestantisch;Hofleute, höfische Administration;;;;;
Martin Heuß;;;protestantisch;Städtische Administration;;;;;1611–1613 nachgewiesen
Jakob von der Heyden;1573;1645;;Künstler: Graphik;;;;;
Wilhelm von der Heyden;;;keine Angabe;"Künstler: Malerei; Künstler: Graphik";;Stammbuch Philipps II. von Pommern-Stettin;;;um 1612–1617
Johann Konrad Hildebrand;;;katholisch;Hofleute, höfische Administration;;;;;zwischen 1606 und 1636
Hans Hiller;;;protestantisch;Hofleute, höfische Administration;;;;;1610–1618
Friedrich von Hindenburg;;;keine Angabe;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;1617
Gabriel von Hindenburg;;;keine Angabe;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;1616–1624 nachgewiesen
Andreas Hipp;1550;1633;keine Angabe;Künstler: Angewandte Kunst;;Uhren und Uhrwerke in der Sammlung Augusts d. J.;;;
Matthias von Hirschbach;1550;1624;protestantisch;Hofleute, höfische Administration;;;;;
Johann Bernhard von Hochberg;;;protestantisch;Angehörige der Aristokratie;;;;;1607–1618
Johann Konrad Hochstetter;1583;1661;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Jakob Hoefnagel;1573;;protestantisch;"Künstler: Malerei; Künstler: Graphik";;Stammbücher Philipp Hainhofers;;;
Philipp Heinrich von Hoen;1576;1649;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Felix Höpfinger;;1616;keine Angabe;Künstler: Graphik;;Darstellung des Nürnberger Einzugs von Kaiser Matthias unter einem Baldachin von Felix Höpfinger;;;nachweisbar 1598–1616
Barbara Hörburger;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1610 und 1627
Balthasar Hörmann;;;keine Angabe;Bedienstete;;;;;um 1613
Michael Hörtnit;;1603;katholisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Johann von der Hövelich zu Lohmar;;1635;katholisch;"Städtische Administration; Angehörige des Militärs; Angehörige der Aristokratie";;;;;
niederländischer Hofmaler in Heidelberg;;;keine Angabe;Künstler: Malerei;;Porträt Friedrichs V. von der Pfalz;;;1615 nachgewiesen
Hofnarren des Fürstbischofs von Eichstätt;;;;;;;;;um 1611
Johann Christoph von Hohenems;;;keine Angabe;Angehörige der Aristokratie;Schwäbisches Reichsgrafenkollegium;;;;zwischen 1599 und 1613
Kaspar von Hohenems;1573;1640;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";Schwäbisches Reichsgrafenkollegium;;;;
Philipp Ernst zu Hohenlohe-Langenburg;1584;1628;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Kraft zu Hohenlohe-Neuenstein;1582;1641;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";Orden der grünen Binde;;;;
Ludwig Eberhard von Hohenlohe-Waldenburg-Pfedelbach;1590;1650;protestantisch;Angehörige der Aristokratie;;;;;
Georg Friedrich II. von Hohenlohe-Waldenburg-Schillingfürst;1595;1635;protestantisch;Angehörige der Aristokratie;;;;;
Philipp Heinrich von Hohenlohe-Waldenburg;1591;1644;protestantisch;Angehörige der Aristokratie;;;;;
Georg Friedrich von Hohenlohe-Neuenstein-Weikersheim;1569;1645;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;Orden der grünen Binde;;;;
Johann Hohenstein;1567;1631;keine Angabe;"Gelehrte und Schriftsteller; Hofleute, höfische Administration";;;;;
Johann Christoph von Hohenzollern-Haigerloch;1586;1620;katholisch;"Angehörige der Aristokratie; Angehörige des Militärs";Schwäbisches Reichsgrafenkollegium;;;;
Karl von Hohenzollern-Haigerloch;1586;1620;katholisch;"Angehörige der Aristokratie; Angehörige des Militärs";Schwäbisches Reichsgrafenkollegium;;;;
Franziska von Hohenzollern-Hechingen;1578;1619;katholisch;Angehörige der Aristokratie;;;;;
Ernst Georg V. von Hohenzollern-Sigmaringen;1585;1625;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";"Herzoglicher/Kurfürstlicher Rat (Bayern); Schwäbisches Reichsgrafenkollegium";;;;
David Holder;1575;1635;protestantisch;Hofleute, höfische Administration;;;;;
David Holl;;;protestantisch;Hofleute, höfische Administration;;;;;1604–1613 nachgewiesen
Elias Holl;1573;1646;protestantisch;Künstler: Architektur;;;;;
Thomas Holl;;1619;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Agnes von Holstein-Kiel;;;katholisch;Angehörige der Aristokratie;;;;;
Anna von Holstein-Schauenburg;;;katholisch;Angehörige der Aristokratie;;;;;
Elisabeth von Holstein;;;katholisch;Angehörige der Aristokratie;;;;;
Sigmund Gabriel Holtzschuher von Neuenbürg und Thalheim;1575;1643;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Veit Engelhard Holtzschuher;1581;1656;keine Angabe;Städtische Administration;;;;;
Holzapfel von Herxheim, Familie;;;;;;;;;ab dem 13. Jahrhundert nachgewiesen, 1702 im Mannesstamm erloschen
Hieronymus August von Holzhausen;1571;1624;keine Angabe;Städtische Administration;;;;;
Georg Holzmair;;;katholisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;zwischen 1608 und 1628
Homer, Schriftsteller;;;keine Angabe;Gelehrte und Schriftsteller;;;Homer: Ilias. Griechisch – deutsch. Übertragen von Hans Rupé. Mit Urtext, Anhang und Registern, 16. Aufl., Berlin 2013;;um 750 v. Chr.
Hendrik Hondius;1573;1650;protestantisch;"Künstler: Graphik; Kaufleute, Gewerbetreibende, Dienstleister";;;;;
Völk Honold;;;katholisch;Sonstige;;;;;
Daniel Hopfer;;;keine Angabe;Angehörige des Militärs;;;;;um 1612
Quintus Horatius Flaccus;;;andere;Gelehrte und Schriftsteller;;;Horatius Flaccus, Quintus: Sämtliche Werke. Lateinisch – deutsch, 9. Aufl., München/Zürich 1982;;
Wilhelm Horn;;1628;katholisch;Hofleute, höfische Administration;;;;;
Burchard Horn zu Schlatkow;1558;1623;protestantisch;Hofleute, höfische Administration;;;;;
Martin Horndacher;;1632;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Ernst Friedrich Horneck von Hornberg;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;ca. 1616–vor 1649
Georg Eberhard Horneck von Weinheim;;;protestantisch;Angehörige des Militärs;;;;;1600–1618
Georg Friedrich Horneck von Hornberg;;;protestantisch;Angehörige der Aristokratie;;;;;um 1616
Adam Hüls;1551;1629;katholisch;"Hofleute, höfische Administration; Städtische Administration";;;;;
Hugo, Mitglied der Karolinger;;;andere;Angehörige der Aristokratie;;;;;
Esaias van Hulsen;;;protestantisch;"Künstler: Graphik; Künstler: Angewandte Kunst; Künstler: Malerei; Künstler: Architektur";;"Objekte aus Vogelfedern; Stammbücher Philipp Hainhofers; Stuttgart, Lustgarten, Grotte";Hulsen, Esaias van: Repraesentatio Der Fvrstlichen Avfzvg Vnd Ritterspil. So [...] Herr Johan Friderich Hertzog zu Württemberg, vnd Teckh [...] bey Ihr. F.G. Neüwgebornen Sohn, Friderich Hertzog zu Württemberg. etc. Fürstlicher Kindtauffen, denn 10. biss auff denn 17 Martij, Anno. 1616. Inn [...] Stuetgarten, mit grosser solennitet gehalten [...], Stuttgart 1616;;
Levinus Hulsius;1550;1606;protestantisch;Gelehrte und Schriftsteller;;;;;
Thomas Hummel;1550;1648;protestantisch;Städtische Administration;Rat der Stadt Reutlingen;;;;
Johann Friedrich Hund von Saulheim;1560;1635;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Hans Philipp Hundt von Lauterbach auf Eisolzried;;1639;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;Stammbücher Philipp Hainhofers;;;
Hans Wilhelm Hundt von Lauterbach;1560;1630;katholisch;Hofleute, höfische Administration;;;;;
Wolf Ferdinand Hundt auf Falkenstein;1592;1635;katholisch;Angehörige der Aristokratie;;;;;
Jeremias Husanus;1586;1634;protestantisch;Hofleute, höfische Administration;;;;;
Julius Hutter;;;keine Angabe;"Städtische Administration; Kaufleute, Gewerbetreibende, Dienstleister";;;;;1583–1612 nachweisbar
Sara Hutter;;;christlich allgemein;Sonstige;;;;;
Tobias Ibelin;;1626;katholisch;Angehörige des Militärs;;"Bibliothek des Tobias Ibelin; Stammbücher Philipp Hainhofers";;;
Clara Ilsung;;;katholisch;Sonstige;;;;;
Hans Melchior Ilsung;;1610;katholisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Johannes Ulrich Ilsung;;;katholisch;Hofleute, höfische Administration;;;;;1596–1613 nachgewiesen
Imhof;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;um 1603
Andreas Imhof;1572;1637;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Hans III Imhof;1563;1629;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Sammler / Auftraggeber; Gelehrte und Schriftsteller";;Nürnberg, Imhoff’sche Kunstkammer;;;
Johann Hieronymus Imhof;1591;1669;keine Angabe;Städtische Administration;;;;;
Konstantin Imhof;;;keine Angabe;"Städtische Administration; Kaufleute, Gewerbetreibende, Dienstleister";;;;;zwischen 1611 und 1620
Wilhelm Imhof;1558;1630;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Wilhelm Imhof d. J.;1586;1661;keine Angabe;Angehörige der Aristokratie;;;;;
Ferrante Imperato;1550;1625;keine Angabe;"Gelehrte und Schriftsteller; Sammler / Auftraggeber";;;;;
Isaak, Geistlicher;;;christlich allgemein;Angehörige von Klerus und Ordensgemeinschaften;;;;;um 1195–1200
Wolfgang Ernst von Isenburg-Büdingen;1560;1633;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Philipp Ernst von Isenburg-Büdingen;1595;1635;protestantisch;Angehörige der Aristokratie;;;;;
Philipp Ludwig von Isenburg-Büdingen;1593;1615;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Peter Isselburg;;1630;protestantisch;Künstler: Graphik;;"Darstellung der Ehrenpforte für Kaiser Matthias; Porträt Friedrich Ulrichs zu Braunschweig-Lüneburg";;;
Joachim Jäger von Jägersberg;1559;1644;katholisch;Hofleute, höfische Administration;;;;;
Jakob I., König (England);1566;1625;protestantisch;Angehörige der Aristokratie;Most Noble Order of the Garter;;;;
Jakob Fugger, Bischof (Konstanz);1567;1626;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Jakob Johann von Hanau-Münzenberg;1612;1636;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";Wetterauisches Reichsgrafenkollegium;;;;
Jakob, Herzog (Kurland);1610;1682;protestantisch;Angehörige der Aristokratie;;;;;
Ludwig von Janowitz;1583;1641;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Jean Richardot, Bischof (Arras, Cambrai);1570;1614;katholisch;"Gelehrte und Schriftsteller; Angehörige von Klerus und Ordensgemeinschaften; Hofleute, höfische Administration";;;;;
Hieronymus Jenisch;1575;1619;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Paul Jenisch;1579;1649;keine Angabe;"Gelehrte und Schriftsteller; Angehörige der Aristokratie";;;;;
Joachim, Graf (Ortenburg);1530;1600;protestantisch;Angehörige der Aristokratie;;;;;
"Joachim Carl, Herzog (Braunschweig-Lüneburg) und Domprobst
               (Straßburg)";1573;1615;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Joachim Ernst, Markgraf (Brandenburg-Ansbach);1583;1625;protestantisch;Angehörige der Aristokratie;"Orden der grünen Binde; Protestantische Union";"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Joachim Ernst, Fürst (Anhalt);1592;1615;protestantisch;Angehörige der Aristokratie;;;;;
Joachim Ernst, Herzog (Schleswig-Holstein-Sonderburg-Plön);1595;1671;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Joachim Friedrich, Kurfürst (Brandenburg);1546;1608;protestantisch;Angehörige der Aristokratie;;;;;
Wilhelm Jocher;1565;1636;katholisch;Hofleute, höfische Administration;;;;;
Johann, Herzog (Holstein);;;keine Angabe;Angehörige der Aristokratie;;;;;
Johann, Fürst (Hohenzollern-Sigmaringen);1578;1638;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";"Herzoglicher/Kurfürstlicher Rat (Bayern); Schwäbisches Reichsgrafenkollegium";;;;
Johann, Herzog (Schleswig-Holstein-Sonderburg);1545;1622;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Johann I., Herzog (Pfalz-Zweibrücken);1550;1604;"protestantisch; andere";Angehörige der Aristokratie;;;;;
Johann II., Herzog (Pfalz-Zweibrücken);1584;1635;protestantisch;Angehörige der Aristokratie;;;;;
Johann VI., Fürst (Werle-Waren);;;katholisch;Angehörige der Aristokratie;;;;;
Johann VII., Graf (Nassau-Siegen);1561;1623;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";Wetterauisches Reichsgrafenkollegium;;;;
Johann VIII., Graf (Nassau-Siegen);1583;1638;"protestantisch; katholisch";"Angehörige der Aristokratie; Angehörige des Militärs";"Orden vom Goldenen Vlies; Wetterauisches Reichsgrafenkollegium";;;;
Johann IX., Wild- und Rheingraf (Salm-Kyrburg-Mörchingen);1575;1623;protestantisch;Angehörige der Aristokratie;"Orden der grünen Binde; Wetterauisches Reichsgrafenkollegium";;;;
Johann Adolf, Herzog (Schleswig-Holstein-Gottorf);1575;1616;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
"Johann Adolf, Herzog
               (Schleswig-Holstein-Sonderburg-Norburg)";1576;1624;keine Angabe;"Angehörige der Aristokratie; Angehörige des Militärs";;Stammbuch Philipps II. von Pommern-Stettin;;;
Johann Albrecht I., Graf (Solms-Braunfels);1563;1623;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;Stammbücher Philipp Hainhofers;;;
Johann Albrecht II., Herzog (Mecklenburg-Güstrow);1590;1636;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Johann Christoph von Westerstetten, Bischof (Eichstätt);1563;1637;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;"Geschenke anlässlich der Hochzeit von Wolfgang Wilhelm von Pfalz-Neuburg und Magdalena von Bayern; Gnadenpfennig Johann Christophs von Westerstetten; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
"Johann Christoph II. von Freyberg-Eisenberg, Fürstpropst
               (Ellwangen)";1551;1620;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;;;;
Johann Ernst, Herzog (Sachsen-Eisenach);1566;1638;protestantisch;Angehörige der Aristokratie;;;;;
Johann Ernst I., Herzog (Sachsen-Weimar);1594;1626;protestantisch;Angehörige der Aristokratie;;;;;
Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein);1587;1644;protestantisch;Angehörige der Aristokratie;;"Geschenke anlässlich der Hochzeit von Wolfgang Wilhelm von Pfalz-Neuburg und Magdalena von Bayern; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Johann Friedrich, Herzog (Pommern-Stettin);1542;1600;protestantisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";Greifen (Dynastie);Stettin, Residenzschloss;;;
Johann Friedrich, Herzog (Württemberg);1582;1628;protestantisch;Angehörige der Aristokratie;"Orden der grünen Binde; Protestantische Union";"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers; Stuttgart, Lustgarten; Stuttgart, Lustgarten, Grotte; Stuttgart, Lustgarten, Großes Pomeranzenhaus und Pomeranzengarten";;;
Johann Friedrich von Schwalbach, Fürstabt (Fulda);1567;1622;"protestantisch; katholisch";"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;;;;
